"time","tcol_co","anomaly_co"
200101,1.70352e+18,1.13931e+17
200102,1.59982e+18,2.97404e+15
200103,1.57367e+18,4.98264e+16
200104,1.405e+18,-5.18861e+16
200105,1.4683e+18,6.27369e+16
200106,1.6644e+18,1.89441e+17
200107,1.9105e+18,3.31151e+17
200108,2.20456e+18,1.62343e+17
200109,2.41531e+18,-1.79954e+17
200110,2.05731e+18,-2.59713e+17
200111,1.69309e+18,-1.22806e+17
200112,1.49809e+18,-1.71306e+17
200201,1.51115e+18,-7.84342e+16
200202,1.57732e+18,-1.95261e+16
200203,1.64265e+18,1.18798e+17
200204,1.46793e+18,1.10527e+16
200205,1.37119e+18,-3.43762e+16
200206,1.50129e+18,2.63306e+16
200207,1.61405e+18,3.47094e+16
200208,2.10017e+18,5.79518e+16
200209,2.51094e+18,-8.43177e+16
200210,2.65342e+18,3.364e+17
200211,2.09219e+18,2.76296e+17
200212,1.5724e+18,-9.69923e+16
200301,1.59387e+18,4.28177e+15
200302,1.61987e+18,2.30302e+16
200303,1.52758e+18,3.72899e+15
200304,1.4592e+18,2.31488e+15
200305,1.39673e+18,-8.83183e+15
200306,1.52718e+18,5.22216e+16
200307,1.70225e+18,1.22908e+17
200308,2.02175e+18,-2.04704e+16
200309,2.51398e+18,-8.12872e+16
200310,2.01186e+18,-3.05166e+17
200311,1.67015e+18,-1.45745e+17
200312,1.78202e+18,1.1263e+17
200401,1.52857e+18,-6.10171e+16
200402,1.56773e+18,-2.9116e+16
200403,1.43042e+18,-9.34317e+16
200404,1.42352e+18,-3.33595e+16
200405,1.36882e+18,-3.67446e+16
200406,1.49771e+18,2.27485e+16
200407,1.6979e+18,1.18554e+17
200408,2.13225e+18,9.00303e+16
200409,2.95674e+18,3.61481e+17
200410,2.31577e+18,-1.25784e+15
200411,1.84488e+18,2.89918e+16
200412,1.6902e+18,2.08044e+16
200501,1.59936e+18,9.77617e+15
200502,1.53169e+18,-6.51524e+16
200503,1.50363e+18,-2.02225e+16
200504,1.51659e+18,5.97068e+16
200505,1.37486e+18,-3.06997e+16
200506,1.39956e+18,-7.54027e+16
200507,1.6151e+18,3.57556e+16
200508,2.2987e+18,2.56478e+17
200509,2.99652e+18,4.01256e+17
200510,2.82722e+18,5.10192e+17
200511,1.83903e+18,2.31402e+16
200512,1.59856e+18,-7.08301e+16
200601,1.55605e+18,-3.3539e+16
200602,1.49982e+18,-9.70271e+16
200603,1.49757e+18,-2.62787e+16
200604,1.37337e+18,-8.35141e+16
200605,1.36469e+18,-4.08709e+16
200606,1.46545e+18,-9.50693e+15
200607,1.5258e+18,-5.35475e+16
200608,2.10077e+18,5.85527e+16
200609,2.68864e+18,9.33782e+16
200610,1.9156e+18,-4.01419e+17
200611,1.80781e+18,-8.08677e+15
200612,1.68065e+18,1.12637e+16
200701,1.67387e+18,8.42824e+16
200702,1.67735e+18,8.05039e+16
200703,1.61303e+18,8.91799e+16
200704,1.5293e+18,7.24224e+16
200705,1.48928e+18,8.37172e+16
200706,1.54477e+18,6.98087e+16
200707,1.57921e+18,-1.38676e+14
200708,2.15826e+18,1.1604e+17
200709,3.48966e+18,8.944e+17
200710,2.99781e+18,6.80785e+17
200711,1.92739e+18,1.11501e+17
200712,1.60288e+18,-6.65111e+16
200801,1.63361e+18,4.40169e+16
200802,1.59157e+18,-5.27656e+15
200803,1.57686e+18,5.30088e+16
200804,1.44458e+18,-1.23038e+16
200805,1.37081e+18,-3.47553e+16
200806,1.44693e+18,-2.80316e+16
200807,1.58241e+18,3.0642e+15
200808,1.92482e+18,-1.17401e+17
200809,2.38306e+18,-2.12207e+17
200810,2.34332e+18,2.62921e+16
200811,1.85581e+18,3.99168e+16
200812,1.61321e+18,-5.6183e+16
200901,1.50854e+18,-8.10519e+16
200902,1.50513e+18,-9.17148e+16
200903,1.45184e+18,-7.20055e+16
200904,1.41986e+18,-3.70254e+16
200905,1.36985e+18,-3.57112e+16
200906,1.39523e+18,-7.97349e+16
200907,1.50398e+18,-7.53685e+16
200908,1.67458e+18,-3.67644e+17
200909,1.84507e+18,-7.50188e+17
200910,1.9308e+18,-3.86226e+17
200911,1.83118e+18,1.52921e+16
200912,1.63669e+18,-3.26974e+16
201001,1.60833e+18,1.87452e+16
201002,1.61332e+18,1.64773e+16
201003,1.4566e+18,-6.72445e+16
201004,1.46755e+18,1.06638e+16
201005,1.45704e+18,5.14812e+16
201006,1.52767e+18,5.27048e+16
201007,1.57273e+18,-6.61975e+15
201008,2.36858e+18,3.2636e+17
201009,2.91765e+18,3.22383e+17
201010,2.82224e+18,5.0522e+17
201011,1.86554e+18,4.96468e+16
201012,1.77685e+18,1.07463e+17
201101,1.57619e+18,-1.33963e+16
201102,1.63007e+18,3.32288e+16
201103,1.50056e+18,-2.32841e+16
201104,1.41881e+18,-3.8067e+16
201105,1.44009e+18,3.45298e+16
201106,1.49106e+18,1.61037e+16
201107,1.56702e+18,-1.23298e+16
201108,1.85724e+18,-1.84977e+17
201109,2.3497e+18,-2.45564e+17
201110,1.95245e+18,-3.64578e+17
201111,1.62757e+18,-1.8832e+17
201112,1.6653e+18,-4.09362e+15
201201,1.4902e+18,-9.9392e+16
201202,1.63831e+18,4.14699e+16
201203,1.52486e+18,1.01196e+15
201204,1.49388e+18,3.69991e+16
201205,1.37246e+18,-3.31051e+16
201206,1.44168e+18,-3.32785e+16
201207,1.55779e+18,-2.15587e+16
201208,1.89683e+18,-1.45393e+17
201209,2.55449e+18,-4.07704e+16
201210,2.18415e+18,-1.32877e+17
201211,1.83501e+18,1.91149e+16
201212,1.6739e+18,4.50621e+15
201301,1.5433e+18,-4.62855e+16
201302,1.61233e+18,1.5485e+16
201303,1.50482e+18,-1.90319e+16
201304,1.34634e+18,-1.1054e+17
201305,1.42823e+18,2.26652e+16
201306,1.50101e+18,2.6052e+16
201307,1.56613e+18,-1.32115e+16
201308,1.81989e+18,-2.22325e+17
201309,2.05551e+18,-5.39755e+17
201310,1.93856e+18,-3.78466e+17
201311,1.54945e+18,-2.66446e+17
201312,1.57795e+18,-9.14423e+16
201401,1.5237e+18,-6.58893e+16
201402,1.48432e+18,-1.1252e+17
201403,1.51855e+18,-5.29731e+15
201404,1.48505e+18,2.81735e+16
201405,1.42643e+18,2.0866e+16
201406,1.41141e+18,-6.35562e+16
201407,1.47709e+18,-1.02252e+17
201408,1.94179e+18,-1.00429e+17
201409,2.25571e+18,-3.39553e+17
201410,2.19166e+18,-1.25361e+17
201411,1.67289e+18,-1.43006e+17
201412,1.55518e+18,-1.14207e+17
201501,1.70342e+18,1.13834e+17
201502,1.59433e+18,-2.51032e+15
201503,1.49147e+18,-3.23809e+16
201504,1.52025e+18,6.3369e+16
201505,1.37516e+18,-3.04033e+16
201506,1.42933e+18,-4.56299e+16
201507,1.4786e+18,-1.00748e+17
201508,1.92765e+18,-1.14568e+17
201509,2.54773e+18,-4.75327e+16
201510,2.66105e+18,3.44031e+17
201511,2.30867e+18,4.92779e+17
201512,2.23366e+18,5.64273e+17
201601,1.67852e+18,8.89269e+16
201602,1.86934e+18,2.72494e+17
201603,1.60616e+18,8.23123e+16
201604,1.54132e+18,8.44386e+16
201605,1.46071e+18,5.51441e+16
201606,1.5478e+18,7.28389e+16
201607,1.6404e+18,6.10582e+16
201608,2.00571e+18,-3.65065e+16
201609,2.3141e+18,-2.81164e+17
201610,2.09873e+18,-2.18293e+17
201611,1.64283e+18,-1.7306e+17
201612,1.53938e+18,-1.30012e+17
